"District","pvi","rpvi","incumb1","i1party","incumb2","i2party"
"01B",-4.0320512821,"D+04","Debra Kiel","R",,
"05A",7.1717171717,"R+07","Larry Howes","R","John Persell","DFL"
"05B",-0.5145631068,"D+01","Carolyn McElfatrick","R","Tom Anzele","DFL"
"10A",4.6744186047,"R+05","John Ward","DFL",,
"11B",24.8552631579,"R+25","Roger Crawford","R","Bill Hilty","DFL"
"13A",30,"R+30","Larry Hosch","DFL",,
"19A",13.2608695652,"R+13","Terry Morrow","DFL",,
"21A",12.7884615385,"R+13","Tim Kelly","DFL",,
"24A",2.6571428571,"R+03","Kory Kath","DFL",,
"24B",8.0350877193,"R+08","Patti Fritz","DFL",,
"27A",-1.6811594203,"D+02","Rich Murray","R",,
"36A",1.7666666667,"R+02","Denise Dittrich","DFL",,
"45A",1.8484848485,"R+02","Lyndon Carlson Sr.","DFL",,
"49A",-15.5151515152,"D+16","Keith Downey","R",,
"51A",-6.5185185185,"D+07","Diane Anderson","R",,
"54A",-2.1212121212,"D+02","John Kriesel","R",,
